player,year,overall_pick,games,points,total_rebounds,assists,successScore
Antonita Slaughter,2014,35,0.0,0.0,0.0,0.0,0.0
Asia Taylor,2014,36,76.0,2.2,1.6,0.5,0.1383376466049909
Brittney Griner,2013,1,254.0,17.7,7.6,1.8,0.6497159214204685
Elena Delle Donne,2013,2,218.0,19.8,6.8,1.8,0.6393597773728664
Skylar Diggins-Smith,2013,3,252.0,16.7,2.9,5.0,0.6471418056350127
Tayler Hill,2013,4,145.0,8.9,1.7,1.7,0.33743842671810753
Kelsey Bone,2013,5,168.0,8.1,4.6,1.2,0.38094347724364336
Tianna Hawkins,2013,6,257.0,5.8,3.1,0.6,0.30732594487751286
Toni Young,2013,7,39.0,3.5,1.6,0.4,0.1491894576843683
Kayla Alexander,2013,8,203.0,4.0,2.8,0.3,0.24365416060636172
Layshia Clarendon,2013,9,239.0,7.6,2.7,3.2,0.436739899793945
A'dia Mathies,2013,10,30.0,2.3,0.7,0.8,0.12455900123593655
Kelly Faris,2013,11,112.0,2.1,1.6,0.7,0.18061068576563813
Lindsey Moore,2013,12,35.0,1.0,0.6,1.1,0.10553975937985252
Alex Bentley,2013,13,222.0,10.6,1.7,2.9,0.4453446306205352
Sugar Rodgers,2013,14,247.0,7.0,2.5,1.6,0.35854232312928247
Kamiko Williams,2013,15,34.0,2.6,2.1,0.9,0.1841268321264346
Davellyn Whyte,2013,16,31.0,4.2,1.8,1.7,0.22273956018948282
Nadirah McKenith,2013,17,38.0,2.5,1.1,0.9,0.13414157597488327
Chelsea Poppens,2013,18,8.0,1.1,2.1,0.1,0.10501664621112101
Emma Meesseman,2013,19,238.0,11.5,5.3,2.6,0.5327528788791406
Diandra Tchatchouang,2013,20,0.0,0.0,0.0,0.0,0.0
Jasmine Hassell,2013,21,24.0,1.7,0.8,0.4,0.0972764078574615
Brittany Chambers,2013,22,0.0,0.0,0.0,0.0,0.0
Anna Prins,2013,23,0.0,0.0,0.0,0.0,0.0
Chucky Jeffery,2013,24,17.0,1.0,0.9,0.2,0.0666552070133791
Shenneika Smith,2013,25,0.0,0.0,0.0,0.0,0.0
Nikki Greene,2013,26,23.0,0.8,1.5,0.1,0.0840374883748771
Olcay Cakir,2013,27,0.0,0.0,0.0,0.0,0.0
Brooklyn Pope,2013,28,0.0,0.0,0.0,0.0,0.0
Angel Goodrich,2013,29,82.0,2.9,1.3,2.2,0.23592353208798178
Jasmine James,2013,30,16.0,3.1,1.4,1.8,0.187763892670978
Anne Marie Armstrong,2013,31,9.0,0.7,0.4,0.0,0.0343015938363818
Whitney Hand,2013,32,0.0,0.0,0.0,0.0,0.0
Jennifer George,2013,33,0.0,0.0,0.0,0.0,0.0
Alina Iagupova,2013,34,0.0,0.0,0.0,0.0,0.0
Andrea Smith,2013,35,0.0,0.0,0.0,0.0,0.0
Waltiea Rolle,2013,36,6.0,2.7,3.2,0.3,0.166467558647681
Nneka Ogwumike,2012,1,320.0,16.2,7.4,1.9,0.6479993542230024
Shekinna Stricklen,2012,2,311.0,7.2,2.3,0.8,0.3634795771180831
Devereaux Peters,2012,3,160.0,4.3,3.6,1.1,0.29482958044591184
Glory Johnson,2012,4,222.0,11.4,7.4,1.3,0.5360536769250445
Shenise Johnson,2012,5,205.0,8.2,3.6,1.8,0.3993774010376557
Samantha Prahalis,2012,6,41.0,8.4,2.5,3.5,0.3969170472160208
Kelley Cain,2012,7,28.0,1.2,1.5,0.1,0.09258435738582242
Natalie Novosel,2012,8,31.0,3.2,1.3,0.7,0.14702000095748055
Astan Dabo,2012,9,0.0,0.0,0.0,0.0,0.0
LaSondra Barrett,2012,10,0.0,0.0,0.0,0.0,0.0
